Ocupação;Quantitativo;Porcentagem;Ano
Músico;24;0,002;2006
Secretário e Datilógrafo;11;0,0009;2006
Pedagogo;34;0,0028;2006
Cobrador de Transporte Coletivo;7;0,0006;2006
Fiscal;11;0,0009;2006
Técnico de Química;2;0,0002;2006
Fisioterapeuta e Terapeuta Ocupacional;8;0,0007;2006
Cozinheiro;9;0,0007;2006
Torneiro Mecânico;4;0,0003;2006
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;1;0,0001;2006
Arquivista e Museólogo;1;0,0001;2006
Ferroviário;7;0,0006;2006
Engenheiro;204;0,0167;2006
Administrador;216;0,0177;2006
Bombeiro Militar;52;0,0043;2006
Motorista de Veículos de Transporte de Carga;23;0,0019;2006
Veterinário;32;0,0026;2006
Servidor Público Municipal;216;0,0177;2006
Escritor e Crítico;9;0,0007;2006
Eletricista e Assemelhados;23;0,0019;2006
Porteiro de Edifício, Ascensorista, Garagista e Zelador;14;0,0011;2006
Agrônomo;25;0,002;2006
Geólogo;8;0,0007;2006
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;2;0,0002;2006
Operador de Computador;1;0,0001;2006
Encanador, Soldador, Chapeador e Caldeireiro;8;0,0007;2006
Magistrado;2;0,0002;2006
Operador de Implemento de Agricultura, Pecuária e Exploração Florestal;1;0,0001;2006
Advogado;756;0,0618;2006
Professor de Ensino Médio;391;0,032;2006
Feirante, Ambulante e Mascate;13;0,0011;2006
Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;72;0,0059;2006
Técnico de Laboratório e Raios X;10;0,0008;2006
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;4;0,0003;2006
Geógrafo;4;0,0003;2006
Digitador;6;0,0005;2006
Cortador, Polidor e Gravador de Pedras;1;0,0001;2006
Bacteriologista e Assemelhados;1;0,0001;2006
Programador de Computador;2;0,0002;2006
Despachante;13;0,0011;2006
Protético;11;0,0009;2006
Mecânico de Manutenção;30;0,0025;2006
Esteticista;3;0,0002;2006
Fonoaudiólogo;2;0,0002;2006
Vereador;638;0,0522;2006
Auxiliar de Escritório e Assemelhados;41;0,0034;2006
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;67;0,0055;2006
Decorador;2;0,0002;2006
Diretor de Estabelecimento de Ensino;11;0,0009;2006
Ocupante de Cargo em Comissão;17;0,0014;2006
Trabalhador Rural;11;0,0009;2006
Massagista;1;0,0001;2006
Catador de Recicláveis;2;0,0002;2006
Astrólogo;1;0,0001;2006
Farmacêutico;24;0,002;2006
Representante Comercial;89;0,0073;2006
Professor de Ensino Fundamental;131;0,0107;2006
Locutor e Comentarista de Rádio e Televisão e Radialista;144;0,0118;2006
Jornaleiro;3;0,0002;2006
Diretor de Empresas;29;0,0024;2006
Chaveiro;1;0,0001;2006
Biomédico;3;0,0002;2006
Coveiro;1;0,0001;2006
Cientista Político;6;0,0005;2006
Coreógrafo e Bailarino;1;0,0001;2006
Serralheiro;2;0,0002;2006
Comerciário;63;0,0052;2006
Membro das Forças Armadas;25;0,002;2006
Biólogo;9;0,0007;2006
Odontólogo;70;0,0057;2006
Industrial;31;0,0025;2006
Produtor Agropecuário;57;0,0047;2006
Técnico Têxtil;1;0,0001;2006
Agente de Saúde e Sanitarista;18;0,0015;2006
Bibliotecário;3;0,0002;2006
Empregado Doméstico;5;0,0004;2006
Técnico de Mineração, Metalurgia e Geologia;3;0,0002;2006
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;4;0,0003;2006
Telefonista;3;0,0002;2006
Relações-Públicas;4;0,0003;2006
Comerciante;956;0,0782;2006
Professor de Ensino Superior;193;0,0158;2006
Servidor Público Estadual;486;0,0397;2006
Deputado;577;0,0472;2006
Motorista de Veículos de Transporte Coletivo de Passageiros;51;0,0042;2006
Psicólogo;26;0,0021;2006
Técnico em Agronomia e Agrimensura;11;0,0009;2006
Motoboy;5;0,0004;2006
Fotógrafo e Assemelhados;10;0,0008;2006
Trabalhador de Fabricação de Roupas;1;0,0001;2006
Securitário;3;0,0002;2006
Ator e Diretor de Espetáculos Públicos;15;0,0012;2006
Servidor Público Federal;220;0,018;2006
Trabalhador de Construção Civil;31;0,0025;2006
Jornalista e Redator;117;0,0096;2006
Arquiteto;21;0,0017;2006
Operador de Equipamento Médico e Odontológico;1;0,0001;2006
Agricultor;126;0,0103;2006
Estatístico;2;0,0002;2006
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;6;0,0005;2006
Fiandeiro, Tecelão, Tingidor e Assemelhados;1;0,0001;2006
Produtor de Espetáculos Públicos;16;0,0013;2006
Relojoeiro e Montador de Instrumento de Precisão;1;0,0001;2006
Alfaiate e Costureiro;4;0,0003;2006
Terapeuta;4;0,0003;2006
Maquinista e Foguista de Embarcações e Assemelhados;1;0,0001;2006
Bombeiro Civil;3;0,0002;2006
Estudante, Bolsista, Estagiário e Assemelhados;234;0,0163;2010
Cantor e Compositor;33;0,0023;2010
Publicitário;41;0,0029;2010
Pecuarista;48;0,0033;2010
Padeiro, Confeiteiro e Assemelhados;6;0,0004;2010
Técnico em Informática;21;0,0015;2010
Técnico em Edificações;3;0,0002;2010
Sociólogo;18;0,0013;2010
Artista Plástico e Assemelhados;8;0,0006;2010
Garçom;13;0,0009;2010
Carpinteiro, Marceneiro e Assemelhados;9;0,0006;2010
Estivador, Carregador e Assemelhados;3;0,0002;2010
Historiador;3;0,0002;2010
Frentista;7;0,0005;2010
Zootecnista;2;0,0001;2010
Técnico de Mecânica;7;0,0005;2010
Tradutor, Intérprete e Filólogo;1;0,0001;2010
Paramédico;1;0,0001;2010
Empresário;1146;0,0797;2010
Sacerdote ou Membro de Ordem ou Seita Religiosa;55;0,0038;2010
Bancário e Economiário;82;0,0057;2010
Policial Civil;94;0,0065;2010
Trabalhador Metalúrgico e Siderúrgico;13;0,0009;2010
Supervisor, Inspetor e Agente de Compras e Vendas;22;0,0015;2010
Agenciador de Propaganda;3;0,0002;2010
Cabeleireiro e Barbeiro;60;0,0042;2010
Comunicólogo;7;0,0005;2010
Leiloeiro, Avaliador e Assemelhados;2;0,0001;2010
Guia de Turismo;1;0,0001;2010
Guardador de Veículos;2;0,0001;2010
Trabalhador em Atividade de Processamento Químico;2;0,0001;2010
Nutricionista e Assemelhados;1;0,0001;2010
Modelo;1;0,0001;2010
Professor e Instrutor de Formação Profissional;61;0,0042;2010
Agente Postal;8;0,0006;2010
Vendedor de Comércio Varejista e Atacadista;65;0,0045;2010
Artesão;27;0,0019;2010
Petroleiro;6;0,0004;2010
Tabelião;6;0,0004;2010
Químico;7;0,0005;2010
Agente de Viagem;4;0,0003;2010
