Ocupação;Quantitativo;Porcentagem;Ano
Técnico de Mecânica;5;0,0009;2006
Carpinteiro, Marceneiro e Assemelhados;3;0,0006;2006
Técnico em Edificações;4;0,0008;2006
Garçom;5;0,0009;2006
Técnico de Biologia;2;0,0004;2006
Funileiro;1;0,0002;2006
Tradutor, Intérprete e Filólogo;1;0,0002;2006
Padeiro, Confeiteiro e Assemelhados;2;0,0004;2006
Historiador;1;0,0002;2006
Frentista;1;0,0002;2006
Zootecnista;1;0,0002;2006
Cabeleireiro e Barbeiro;11;0,0021;2006
Empresário;411;0,078;2006
Bancário e Economiário;41;0,0078;2006
Sacerdote ou Membro de Ordem ou Seita Religiosa;44;0,0084;2006
Policial Civil;26;0,0049;2006
Trabalhador Metalúrgico e Siderúrgico;7;0,0013;2006
Supervisor, Inspetor e Agente de Compras e Vendas;2;0,0004;2006
Comunicólogo;1;0,0002;2006
Trabalhador em Atividade de Processamento Químico;2;0,0004;2006
Agenciador de Propaganda;2;0,0004;2006
Leiloeiro, Avaliador e Assemelhados;1;0,0002;2006
Professor e Instrutor de Formação Profissional;20;0,0038;2006
Vendedor de Comércio Varejista e Atacadista;27;0,0051;2006
Agente Postal;8;0,0015;2006
Agente de Viagem;3;0,0006;2006
Diplomata;3;0,0006;2006
Comissário de Bordo;1;0,0002;2006
Artesão;9;0,0017;2006
Senador;1;0,0002;2006
Petroleiro;3;0,0006;2006
Físico;1;0,0002;2006
Tabelião;3;0,0006;2006
Químico;3;0,0006;2006
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);9;0,0017;2006
Corretor de Imóveis, Seguros, Títulos e Valores;43;0,0082;2006
Vigilante;14;0,0027;2006
Enfermeiro;4;0,0008;2006
Almoxarife;2;0,0004;2006
Capitalista de Ativos Financeiros;1;0,0002;2006
Detetive Particular;4;0,0008;2006
Serventuário de Justiça;2;0,0004;2006
Escultor e Pintor;3;0,0006;2006
Artista de Circo;2;0,0004;2006
Aposentado (Exceto Servidor Público);106;0,0201;2006
Trabalhador de Artes Gráficas;6;0,0011;2006
Técnico de Eletricidade, Eletrônica e Telecomunicações;12;0,0023;2006
Motorista Particular;11;0,0021;2006
Auxiliar de Laboratório;2;0,0004;2006
Contador;38;0,0072;2006
Servidor Público Civil Aposentado;53;0,0101;2006
Militar Reformado;46;0,0087;2006
Taxista;8;0,0015;2006
Atleta Profissional e Técnico em Desportos;5;0,0009;2006
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;2;0,0004;2006
Desenhista;5;0,0009;2006
Joalheiro e Ourives;1;0,0002;2006
Operador de Equipamento de Rádio, Televisão, Som e Cinema;2;0,0004;2006
Pescador;2;0,0004;2006
Trabalhador de Hotelaria;1;0,0002;2006
Policial Militar;155;0,0294;2006
Médico;225;0,0427;2006
Analista de Sistemas;11;0,0021;2006
Economista;54;0,0102;2006
Gerente;24;0,0046;2006
Assistente Social;17;0,0032;2006
Dona de Casa;17;0,0032;2006
Manicure e Maquilador;2;0,0004;2006
Agente Administrativo;8;0,0015;2006
Operador de Aparelhos de Produção Industrial;3;0,0006;2006
Garimpeiro;1;0,0002;2006
Pedagogo;15;0,0028;2006
Músico;12;0,0023;2006
Secretário e Datilógrafo;6;0,0011;2006
Fisioterapeuta e Terapeuta Ocupacional;9;0,0017;2006
Cozinheiro;1;0,0002;2006
Recepcionista;3;0,0006;2006
Fiscal;11;0,0021;2006
Cobrador de Transporte Coletivo;2;0,0004;2006
Ferroviário;2;0,0004;2006
Taquígrafo e Estenógrafo;1;0,0002;2006
Torneiro Mecânico;1;0,0002;2006
Técnico de Química;1;0,0002;2006
Carpinteiro, Marceneiro e Assemelhados;3;0,0005;2010
Estudante, Bolsista, Estagiário e Assemelhados;102;0,017;2010
Cantor e Compositor;33;0,0055;2010
Técnico em Informática;7;0,0012;2010
Artista Plástico e Assemelhados;7;0,0012;2010
Pecuarista;10;0,0017;2010
Sociólogo;4;0,0007;2010
Técnico de Mecânica;2;0,0003;2010
Publicitário;26;0,0043;2010
Tradutor, Intérprete e Filólogo;1;0,0002;2010
Historiador;6;0,001;2010
Garçom;4;0,0007;2010
Padeiro, Confeiteiro e Assemelhados;1;0,0002;2010
Zootecnista;1;0,0002;2010
Frentista;2;0,0003;2010
Estivador, Carregador e Assemelhados;1;0,0002;2010
Bancário e Economiário;34;0,0057;2010
Empresário;570;0,0948;2010
Sacerdote ou Membro de Ordem ou Seita Religiosa;35;0,0058;2010
Cabeleireiro e Barbeiro;24;0,004;2010
Policial Civil;35;0,0058;2010
Comunicólogo;3;0,0005;2010
Office-Boy e Contínuo;1;0,0002;2010
Supervisor, Inspetor e Agente de Compras e Vendas;6;0,001;2010
Nutricionista e Assemelhados;1;0,0002;2010
Trabalhador Metalúrgico e Siderúrgico;5;0,0008;2010
Guia de Turismo;2;0,0003;2010
Leiloeiro, Avaliador e Assemelhados;1;0,0002;2010
Modelo;1;0,0002;2010
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);1;0,0002;2010
Agenciador de Propaganda;1;0,0002;2010
Professor e Instrutor de Formação Profissional;25;0,0042;2010
Agente Postal;5;0,0008;2010
Vendedor de Comércio Varejista e Atacadista;26;0,0043;2010
Artesão;8;0,0013;2010
Diplomata;2;0,0003;2010
Senador;6;0,001;2010
Agente de Viagem;5;0,0008;2010
Petroleiro;6;0,001;2010
Químico;3;0,0005;2010
Tabelião;1;0,0002;2010
Corretor de Imóveis, Seguros, Títulos e Valores;62;0,0103;2010
Vigilante;26;0,0043;2010
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);9;0,0015;2010
Almoxarife;2;0,0003;2010
Enfermeiro;26;0,0043;2010
Detetive Particular;1;0,0002;2010
Serventuário de Justiça;2;0,0003;2010
Escultor e Pintor;1;0,0002;2010
Aposentado (Exceto Servidor Público);150;0,0249;2010
Motorista Particular;27;0,0045;2010
Técnico de Eletricidade, Eletrônica e Telecomunicações;6;0,001;2010
Faxineiro;2;0,0003;2010
